time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-19T02:05:39.490Z,-21.5493,-174.113,10,5.2,mb,,113,4.635,1.08,us,us2000jjtn,2019-02-19T02:26:36.040Z,"89km ESE of `Ohonua, Tonga",earthquake,12.8,1.9,0.059,96,reviewed,us,us
2019-02-19T01:35:07.180Z,19.4371,-64.828,41,3.3,md,14,311,1.649,0.5,pr,pr2019050006,2019-02-19T05:45:54.262Z,"115km N of Road Town, British Virgin Islands",earthquake,4.17,32.33,0.35,11,reviewed,pr,pr
2019-02-19T01:15:26.900Z,19.4563,-64.9621,69,3.32,md,3,343,1.5854,0.06,pr,pr2019050004,2019-02-19T05:45:44.903Z,"120km NNW of Road Town, British Virgin Islands",earthquake,3.38,7.88,0,1,reviewed,pr,pr
2019-02-19T01:01:15.200Z,19.3651,-64.8396,25,3.02,md,10,337,1.5856,0.35,pr,pr2019050003,2019-02-19T05:45:35.575Z,"107km NNW of Road Town, British Virgin Islands",earthquake,3.03,29.32,0.43,8,reviewed,pr,pr
2019-02-19T00:49:37.610Z,34.0371667,-116.9875,13.49,2.47,ml,117,17,0.115,0.15,ci,ci37534418,2019-02-20T01:49:56.470Z,"5km E of Yucaipa, CA",earthquake,0.11,0.28,0.17,24,reviewed,ci,ci
2019-02-19T00:40:37.240Z,19.3611,-64.7946,35,2.83,md,11,337,1.6116,0.35,pr,pr2019050002,2019-02-19T05:45:27.462Z,"106km N of Road Town, British Virgin Islands",earthquake,3.17,25.68,0.34,7,reviewed,pr,pr
2019-02-19T00:26:44.730Z,53.4495,161.3676,10,4.7,mb,,138,1.688,1.06,us,us2000jjt9,2019-02-19T00:51:24.040Z,"187km ENE of Petropavlovsk-Kamchatskiy, Russia",earthquake,9.9,1.9,0.064,73,reviewed,us,us
2019-02-19T00:23:57.960Z,19.0591,-64.4433,24,3.29,md,5,346,1.6782,0.45,pr,pr2019050001,2019-02-19T05:45:19.134Z,"73km NNE of Road Town, British Virgin Islands",earthquake,7.4,38.37,0.04,2,reviewed,pr,pr
2019-02-19T00:01:43.980Z,19.2626,-64.5955,49,3.35,md,3,341,1.6812,0.46,pr,pr2019050000,2019-02-19T05:45:11.903Z,"93km N of Road Town, British Virgin Islands",earthquake,8.18,34.06,0.18,2,reviewed,pr,pr
2019-02-18T23:56:56.310Z,19.6538,-65.08,48,3.2,md,7,336,1.696,0.41,pr,pr2019049015,2019-02-19T05:40:32.814Z,"145km NNW of Road Town, British Virgin Islands",earthquake,6.2,30.31,0.39,3,reviewed,pr,pr
2019-02-18T23:47:35.160Z,19.1908,-64.7348,34,2.9,md,10,338,1.53,0.48,pr,pr2019049014,2019-02-19T05:40:23.647Z,"86km N of Road Town, British Virgin Islands",earthquake,5.73,32.84,0.25,8,reviewed,pr,pr
2019-02-18T23:45:08.980Z,19.4165,-64.6808,63,3.4,md,16,319,1.7287,0.42,pr,pr2019049013,2019-02-19T05:40:14.334Z,"110km N of Road Town, British Virgin Islands",earthquake,4.78,16.74,0.4,13,reviewed,pr,pr
2019-02-18T23:38:06.820Z,19.4898,-64.8938,87,4.8,md,23,232,1.6517,0.5,pr,pr2019049011,2019-02-19T15:03:29.856Z,"116km NNW of Road Town, British Virgin Islands",earthquake,4.77,10.44,0.3,17,reviewed,pr,pr
2019-02-18T23:34:48.900Z,37.3916667,-121.5106667,8.12,2.85,md,83,50,0.04715,0.07,nc,nc73143371,2019-02-21T04:58:05.093Z,"28km E of Alum Rock, CA",earthquake,0.09,0.19,0.161,110,reviewed,nc,nc
2019-02-18T23:17:57.340Z,19.3778333,-155.0675,6.3,2.5,ml,42,152,0.0255,0.13,hv,hv70816981,2019-02-18T23:43:36.200Z,"14km S of Fern Acres, Hawaii",earthquake,0.55,0.45,0.158,31,reviewed,hv,hv
2019-02-18T22:11:38.560Z,2.2153,96.1987,10,4.3,mb,,196,1.647,0.76,us,us2000jjqr,2019-02-18T22:32:35.040Z,"35km SW of Sinabang, Indonesia",earthquake,9.5,2,0.142,14,reviewed,us,us
2019-02-18T21:15:57.840Z,-23.3134,-71.1981,10,3.7,ml,,193,1.495,1.17,us,us2000jkbr,2019-02-19T23:12:00.693Z,"89km WNW of Antofagasta, Chile",earthquake,2.9,2,0.077,22,reviewed,us,us
